,age,gender,COB,hours_work,social_media_use,rent,friends_count,stress_level,highest_speed,relationship_status,dates,standard_drinks,countries,drug_use_q,drug_usea,drug_useb,drug_use_ans,student_type,mainstream_advanced,semesters,commute,data_interest _1,mark_goal,hours_studying,lecture_mode,study_type,learner_style
12,18.0,Female,Australia,8.0,3.5,50.0,45.0,3.0,135.0,Its complicated,3.0,0.0,1.0,Have you ever used recreational drugs,No,,No,Domestic,DATA1001,2.0,20.0,6.0,100.0,4.0,I,It changes depending on the subject,Style 3
13,21.0,Male,Australia,42.5,5.5,210.0,0.0,9.0,120.0,In a relationship,5.0,20.0,10.0,Have you ever gotten high off illicit drugs?,,Yes,Yes,Domestic,DATA1001,3.0,45.0,6.0,51.0,5.0,Recording,It changes depending on the subject,Style 1
14,20.0,Female,China,3.0,8.0,690.0,10.0,5.0,120.0,Single,0.0,7.0,8.0,Have you ever used recreational drugs,No,,No,International,DATA1001,2.0,20.0,5.0,90.0,2.0,Recording,It changes depending on the subject,Style 2
15,18.0,Female,India,0.0,1.45,275.0,15.0,6.0,90.0,Single,3.0,0.0,6.0,Have you ever gotten high off illicit drugs?,,Yes,Yes,International,DATA1001,1.0,25.0,8.0,80.0,3.0,I,It changes depending on the subject,Style 3
16,18.0,Male,Australia,15.0,9.3,0.0,30.0,3.0,140.0,In a relationship,50.0,0.0,4.0,Have you ever used recreational drugs,No,,No,Domestic,DATA1001,1.0,75.0,2.0,100.0,5.0,Recording,I work steadily all semester,Style 1
17,19.0,Female,China,0.0,6.35,477.0,5.0,4.0,120.0,Single,0.0,0.0,7.0,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1001,1.0,10.0,0.0,74.0,1.0,Live Stream from Lecture Theatre,I work steadily all semester,Style 3
18,19.0,Female,Hong Kong,4.0,2.3,0.0,10.0,4.0,0.0,Single,0.0,2.0,15.0,Have you ever used recreational drugs,No,,No,Domestic,DATA1001,1.0,30.0,2.0,50.0,3.0,I,It changes depending on the subject,Style 2
19,18.0,Female,New Zealand,0.0,3.0,0.0,25.0,7.0,95.0,Single,0.0,0.0,7.0,Have you ever used recreational drugs,No,,No,Domestic,DATA1001,1.0,75.0,5.0,85.0,3.0,I,It changes depending on the subject,Style 1
20,19.0,Female,New Zealand ,0.0,2.0,0.0,6.0,8.0,130.0,In a relationship,20.0,0.0,8.0,Have you ever gotten high off illicit drugs?,,No,No,Domestic,DATA1001,1.0,15.0,5.0,90.0,3.0,Recording,I work steadily all semester,Style 3
21,19.0,Female,China,1.0,4.0,0.0,6.0,3.0,0.0,Single,0.0,0.0,8.0,Have you ever used recreational drugs,No,,No,International,DATA1001,1.0,25.0,4.0,85.0,3.0,Recording,It changes depending on the subject,Style 1
22,19.0,Male,Vietnam,100.0,6.0,500.0,3.0,5.0,100.0,Single,50.0,2.0,2.0,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1001,1.0,50.0,8.0,9.0,8.0,Live Stream from Lecture Theatre,I work steadily all semester,Style 1
23,19.0,Female,Australia,8.0,3.0,0.0,5.0,6.0,120.0,Single,1.0,1.0,6.0,Have you ever used recreational drugs,No,,No,Domestic,DATA1001,3.0,40.0,6.0,70.0,3.0,Recording,It changes depending on the subject,Style 2
24,22.0,Male,China,100.0,6.0,730.0,10.0,6.0,200.0,Single,4.0,0.0,3.0,Have you ever used recreational drugs,No,,No,International,DATA1001,0.0,40.0,6.0,85.0,14.0,I,I work steadily all semester,Style 3
25,18.0,Male,Taiwan,0.0,3.0,380.0,10.0,4.0,110.0,Single,2.0,0.0,5.0,Have you ever used recreational drugs,No,,No,International,DATA1001,0.0,10.0,10.0,100.0,5.0,I,I work steadily all semester,Style 1
26,19.0,Male,United Kingdom,6.0,3.5,275.0,15.0,3.0,193.0,Single,5.0,4.0,20.0,Have you ever gotten high off illicit drugs?,,Prefer not to say,Prefer not to say,Domestic,DATA1001,1.0,35.0,6.0,100.0,3.0,I,I leave things to the last minute,Style 2
27,19.0,Female,Taiwan,0.0,6.0,759.0,20.0,10.0,0.0,Single,0.0,0.0,6.0,Have you ever used recreational drugs,No,,No,International,DATA1001,1.0,25.0,3.0,100.0,8.0,Recording,I work steadily all semester,Style 3
28,22.0,Male,China,72.0,6.8,360.0,5.0,7.0,220.0,Single,12.0,2.0,7.0,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1001,0.0,60.0,7.0,80.0,20.0,Live Stream from Lecture Theatre,I work steadily all semester,Style 2
29,18.0,Non-binary / third gender,Australia,0.0,1.39,0.0,5.0,3.0,100.0,Single,0.0,0.0,0.0,Have you ever used recreational drugs,No,,No,Domestic,DATA1001,1.0,90.0,5.0,80.0,5.0,I,I leave things to the last minute,Style 2
30,17.0,Male,Vietnam,0.0,1.35,400.0,2.0,7.0,120.0,In a relationship,1.0,3.0,4.0,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1001,0.0,50.0,6.0,100.0,0.0,I,I work steadily all semester,Style 3
31,21.0,Male,Bangladesh,0.0,5.0,0.0,6.0,8.0,140.0,Single,0.0,0.0,20.0,Have you ever used recreational drugs,No,,No,International,DATA1001,0.0,70.0,8.0,90.0,6.0,Recording,It changes depending on the subject,Style 1
32,18.0,Male,Vietnam,0.0,1.4,400.0,4.0,6.0,0.0,Single,0.0,2.0,10.0,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1001,0.0,60.0,9.0,100.0,2.0,Recording,I work steadily all semester,Style 1
33,22.0,Female,China,0.0,5.0,300.0,2.0,7.0,0.0,Single,0.0,0.0,9.0,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1001,0.0,40.0,3.0,80.0,10.0,I,It changes depending on the subject,Style 1
34,18.0,Female,China,8.0,4.0,700.0,5.0,8.0,60.0,Single,2.0,3.0,6.0,Have you ever used recreational drugs,No,,No,International,DATA1001,0.0,15.0,5.0,6.0,3.0,I,I work steadily all semester,Style 2
35,20.0,Male,China,35.0,2.0,300.0,5.0,7.0,50.0,Single,0.0,5.0,3.0,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1001,0.0,120.0,5.0,80.0,2.0,I,I work steadily all semester,Style 2
36,18.0,Female,Israel,0.0,2.75,0.0,10.0,5.0,120.0,Single,0.0,1.0,4.0,Have you ever used recreational drugs,Yes,,Yes,Domestic,DATA1001,1.0,90.0,9.0,80.0,2.0,I,It changes depending on the subject,Style 2
37,18.0,Female,Australia,10.0,2.5,0.0,15.0,3.0,120.0,Single,3.0,0.0,4.0,Have you ever gotten high off illicit drugs?,,No,No,Domestic,DATA1001,1.0,35.0,4.0,85.0,6.0,I,I work steadily all semester,Style 1
38,19.0,Male,China,0.0,7.0,799.0,5.0,7.0,100.0,Single,0.0,5.0,4.0,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1001,0.0,20.0,9.0,100.0,30.0,Other,I work steadily all semester,Style 1
39,19.0,Female,China,2.0,10.0,530.0,5.0,7.0,200.0,In a relationship,6.0,2.0,4.0,Have you ever used recreational drugs,No,,No,International,DATA1001,4.0,30.0,6.0,85.0,5.0,Recording,I leave things to the last minute,Style 3
40,18.0,Male,Australia,28.0,1.5,0.0,10.0,2.0,150.0,In a relationship,20.0,10.0,17.0,Have you ever gotten high off illicit drugs?,,Yes,Yes,Domestic,DATA1001,1.0,35.0,6.0,50.0,2.0,I,It changes depending on the subject,Style 1
41,20.0,Male,China,1.0,8.0,600.0,1.0,1.0,180.0,In a relationship,20.0,10.0,3.0,Have you ever used recreational drugs,No,,No,International,DATA1001,0.0,15.0,7.0,100.0,3.0,I,I work steadily all semester,Style 1
42,18.0,Female,Indonesia,7.75,8.0,1411.0,30.0,7.0,70.0,Single,2.0,1.0,7.0,Have you ever used recreational drugs,No,,No,International,DATA1001,1.0,20.0,2.0,80.0,2.0,Recording,It changes depending on the subject,Style 2
43,20.0,Male,China,28.0,5.0,500.0,2.0,5.0,213.0,In a relationship,50.0,0.0,5.0,Have you ever used recreational drugs,No,,No,International,DATA1001,1.0,35.0,6.0,75.0,6.0,Recording,I work steadily all semester,Style 2
44,20.0,Female,Australia,28.0,1.0,390.0,3.0,9.0,140.0,Single,4.0,0.0,3.0,Have you ever gotten high off illicit drugs?,,Yes,Yes,Domestic,DATA1001,5.0,180.0,3.0,86.0,7.0,Recording,It changes depending on the subject,Style 1
45,18.0,Male,Thailand,0.0,14.0,750.0,2.0,8.0,160.0,Single,0.0,0.0,5.0,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1001,0.0,30.0,6.0,95.0,2.0,Lecture Slides,It changes depending on the subject,Style 2
46,20.0,Male,Japan,0.0,4.2,300.0,5.0,4.0,110.0,Single,0.0,1.0,8.0,Have you ever used recreational drugs,No,,No,International,DATA1001,1.0,50.0,10.0,92.0,6.0,Lecture Slides,It changes depending on the subject,Style 3
47,18.0,Female,Australia,23.0,5.28,0.0,14.0,6.0,110.0,Single,3.0,0.0,3.0,Have you ever used recreational drugs,Yes,,Yes,Domestic,DATA1001,1.0,75.0,1.0,80.0,4.0,Recording,It changes depending on the subject,Style 1
48,19.0,Female,Australia,23.0,4.0,0.0,100.0,3.0,180.0,In a relationship,1.0,20.0,23.0,Have you ever used recreational drugs,Yes,,Yes,Domestic,DATA1001,1.0,60.0,4.0,85.0,5.0,Recording,I work steadily all semester,Style 3
49,19.0,Male,Vietnam,0.0,7.0,360.0,5.0,5.0,180.0,Single,0.0,0.0,15.0,Have you ever gotten high off illicit drugs?,,Prefer not to say,Prefer not to say,International,DATA1001,2.0,40.0,5.0,85.0,9.0,Live Stream from Lecture Theatre,I work steadily all semester,Style 1
50,18.0,Male,Australia,4.0,4.0,0.0,6.0,7.0,110.0,Single,0.0,0.0,5.0,Have you ever gotten high off illicit drugs?,,No,No,Domestic,DATA1001,1.0,60.0,5.0,85.0,3.0,I,I work steadily all semester,Style 3
51,18.0,Male,India,0.0,3.5,450.0,10.0,8.0,210.0,Single,0.0,15.0,8.0,Have you ever used recreational drugs,No,,No,International,DATA1001,0.0,35.0,10.0,90.0,3.0,Recording,It changes depending on the subject,Style 1
52,22.0,Female,Australia,20.0,5.0,300.0,1.0,7.0,130.0,Single,2.0,1.0,10.0,Have you ever used recreational drugs,Yes,,Yes,Domestic,DATA1001,1.0,25.0,6.0,85.0,10.0,Recording,It changes depending on the subject,Style 3
53,19.0,Female,Australia,10.0,7.5,0.0,9.0,8.0,100.0,Single,4.0,6.0,2.0,Have you ever gotten high off illicit drugs?,,Yes,Yes,Domestic,DATA1001,1.0,60.0,1.0,60.0,5.0,I,I work steadily all semester,Style 3
54,31.0,Male,Australia,22.5,0.5,0.0,0.0,3.0,210.0,In a relationship,0.0,12.0,5.0,Have you ever gotten high off illicit drugs?,,Yes,Yes,Domestic,DATA1001,4.0,60.0,1.0,85.0,4.0,Recording,I work steadily all semester,Style 3
55,19.0,Male,China,0.0,6.0,498.0,10.0,0.0,130.0,Single,0.0,0.0,4.0,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1001,1.0,30.0,7.0,80.0,3.0,Lecture Slides,I work steadily all semester,Style 2
56,19.0,Female,Australia,3.0,8.28,0.0,10.0,6.0,115.0,Single,0.0,3.0,8.0,Have you ever used recreational drugs,No,,No,Domestic,DATA1001,1.0,80.0,3.0,80.0,3.0,Recording,It changes depending on the subject,Style 2
57,18.0,Female,Australia,18.0,3.0,0.0,3.0,3.0,110.0,Single,0.0,1.2,5.0,Have you ever used recreational drugs,No,,No,International,DATA1001,1.0,110.0,2.0,85.0,1.0,I,It changes depending on the subject,Style 3
58,19.0,Male,China,20.0,5.45,300.0,10.0,7.0,90.0,In a relationship,40.0,5.0,8.0,Have you ever gotten high off illicit drugs?,,No,No,Domestic,DATA1001,0.0,30.0,8.0,70.0,14.0,I,It changes depending on the subject,Style 1
59,19.0,Female,Singapore,0.0,3.19,0.0,20.0,6.0,186.0,In a relationship,1.0,0.0,11.0,Have you ever used recreational drugs,No,,No,International,DATA1001,1.0,15.0,4.0,85.0,2.0,Recording,It changes depending on the subject,Style 2
60,20.0,Male,China,0.0,2.25,800.0,0.0,3.0,110.0,Single,0.0,3.0,8.0,Have you ever used recreational drugs,No,,No,International,DATA1001,0.0,15.0,7.0,60.0,1.0,I,I leave things to the last minute,Style 2
61,19.0,Male,Hong Kong,0.0,8.0,0.0,2.0,2.0,80.0,Single,0.0,0.0,7.0,Have you ever used recreational drugs,No,,No,Domestic,DATA1001,1.0,60.0,7.0,77.0,2.0,Recording,It changes depending on the subject,Style 2
62,18.0,Female,Australia,5.0,4.5,0.0,11.0,3.0,120.0,In a relationship,45.0,7.0,9.0,Have you ever gotten high off illicit drugs?,,Yes,Yes,Domestic,DATA1001,1.0,20.0,5.0,85.0,4.0,Recording,I work steadily all semester,Style 3
63,18.0,Male,Vietnam,0.0,5.5,400.0,30.0,3.0,150.0,Single,4.0,0.0,4.0,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1001,0.5,60.0,8.0,85.0,4.0,I,I work steadily all semester,Style 1
64,18.0,Male,Australia,12.167,4.28,0.0,9.0,7.0,140.0,Single,50.0,0.0,14.0,Have you ever gotten high off illicit drugs?,,Yes,Yes,Domestic,DATA1001,1.0,50.0,6.0,100.0,3.0,Recording,It changes depending on the subject,Style 2
65,19.0,Female,India,0.0,4.0,600.0,0.0,5.0,150.0,Single,0.0,0.0,4.0,Have you ever gotten high off illicit drugs?,,No,No,Domestic,DATA1001,0.0,20.0,7.0,100.0,10.0,I,It changes depending on the subject,Style 3
66,18.0,Female,South Korea,7.0,5.0,459.0,10.0,9.0,100.0,Its complicated,3.0,5.0,12.0,Have you ever used recreational drugs,Yes,,Yes,International,DATA1001,0.0,20.0,9.0,100.0,4.0,Live Stream from Lecture Theatre,I work steadily all semester,Style 2
67,19.0,Female,Mongolia ,0.0,7.28,459.0,0.0,6.0,150.0,Single,0.0,0.0,3.0,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1001,0.0,20.0,7.0,80.0,2.0,I,I work steadily all semester,Style 2
68,25.0,Female,Republic of Korea,0.0,6.0,700.0,12.0,7.0,100.0,Single,0.0,2.0,14.0,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1001,8.0,30.0,7.0,85.0,2.0,I,It changes depending on the subject,Style 2
69,19.0,Female,China,28.0,7.0,0.0,2.0,2.0,120.0,Single,0.0,7.0,2.0,Have you ever used recreational drugs,No,,No,International,DATA1001,0.0,15.0,6.0,100.0,10.0,I,I work steadily all semester,Style 1
70,19.0,Female,Mongolia,0.0,7.45,0.0,4.0,4.0,120.0,Single,0.0,0.0,2.0,Have you ever used recreational drugs,No,,No,International,DATA1001,2.0,20.0,6.0,3.0,5.0,Lecture Slides,I work steadily all semester,Style 1
71,19.0,Female,Bangladesh,0.0,6.1,739.0,0.0,7.0,120.0,In a relationship,35.0,0.0,10.0,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1001,0.0,20.0,5.0,85.0,5.0,Recording,I work steadily all semester,Style 2
72,20.0,Male,China,9.0,5.0,500.0,9.0,9.0,120.0,Single,0.0,0.0,6.0,Have you ever used recreational drugs,Prefer not to say,,Prefer not to say,International,DATA1001,0.0,50.0,6.0,80.0,0.0,Recording,It changes depending on the subject,Style 3
73,20.0,Female,Australia,15.0,9.16,0.0,10.0,4.0,130.0,Single,0.0,5.0,17.0,Have you ever used recreational drugs,Yes,,Yes,Domestic,DATA1001,3.0,10.0,2.0,70.0,3.0,Live Stream from Lecture Theatre,It changes depending on the subject,Style 2
74,20.0,Male,Indonesia,0.0,7.58,0.0,15.0,6.0,0.0,Single,1.0,1.0,6.0,Have you ever gotten high off illicit drugs?,,Prefer not to say,Prefer not to say,International,DATA1001,6.0,40.0,4.0,100.0,1.0,I,I leave things to the last minute,Style 1
75,20.0,Male,China,15.0,10.0,682.0,3.0,6.0,0.0,Single,3.0,2.0,3.0,Have you ever used recreational drugs,No,,No,International,DATA1001,0.0,60.0,5.0,90.0,6.0,Lecture Slides,It changes depending on the subject,Style 2
76,18.0,Female,Australia,1.0,3.1,0.0,4.0,4.0,180.0,In a relationship,3.0,0.0,5.0,Have you ever used recreational drugs,No,,No,Domestic,DATA1001,1.0,45.0,2.0,90.0,2.0,Recording,I leave things to the last minute,Style 2
77,18.0,Male,Austria,0.0,1.0,0.0,5.0,2.0,120.0,Single,2.0,50.0,5.0,Have you ever gotten high off illicit drugs?,,Yes,Yes,Domestic,DATA1901,0.0,65.0,6.0,100.0,12.0,Live Stream from Lecture Theatre,I work steadily all semester,Style 3
78,18.0,Male,Canada,1.0,5.88,456.0,20.0,0.0,177.03,Its complicated,3.0,7.0,6.0,Have you ever used recreational drugs,Yes,,Yes,Domestic,DATA1901,1.0,15.0,10.0,90.0,4.0,I,It changes depending on the subject,Style 1
79,18.0,Male,Indonesia,0.0,3.0,250.0,20.0,3.0,140.0,Single,0.0,0.0,4.0,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1901,0.0,15.0,9.0,95.0,10.0,I,It changes depending on the subject,Style 1
80,18.0,Male,New Zealand,0.0,2.0,0.0,8.0,6.0,120.0,Single,0.0,3.0,7.0,Have you ever used recreational drugs,No,,No,Domestic,DATA1901,1.0,0.0,8.0,90.0,4.0,Recording,I work steadily all semester,Style 3
81,17.0,Male,Indonesia,0.0,6.0,400.0,20.0,3.0,80.0,Single,0.0,0.0,3.0,Have you ever used recreational drugs,No,,No,International,DATA1901,0.0,75.0,6.0,75.0,20.0,I,I work steadily all semester,Style 3
82,18.0,Male,Vietnam,0.0,2.87,350.0,60.0,4.0,100.0,Single,0.0,3.0,3.0,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1901,0.0,20.0,10.0,90.0,10.0,I,I work steadily all semester,Style 1
83,18.0,Male,Indonesia,0.0,4.25,789.0,15.0,4.0,170.0,Single,0.0,1.0,31.0,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1901,0.0,12.0,8.0,90.0,7.0,I,I work steadily all semester,Style 3
84,18.0,Female,Australia,0.0,8.25,0.0,10.0,8.0,125.0,Single,8.0,0.0,1.0,Have you ever used recreational drugs,No,,No,International,DATA1901,1.0,40.0,2.0,85.0,4.0,Lecture Slides,It changes depending on the subject,Style 1
85,19.0,Male,Hong Kong,0.0,4.5,950.0,30.0,7.0,170.0,Single,2.0,50.0,27.0,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1901,1.0,10.0,2.0,100.0,3.0,I,I leave things to the last minute,Style 2
86,18.0,Male,Australia,6.5,2.0,0.0,10.0,3.0,85.0,In a relationship,10.0,1.5,4.0,Have you ever used recreational drugs,No,,No,Domestic,DATA1901,1.0,60.0,6.0,85.0,4.0,Recording,It changes depending on the subject,Style 1
87,18.0,Male,Australia,7.0,4.0,0.0,9.0,7.0,110.0,Single,0.0,0.0,3.0,Have you ever gotten high off illicit drugs?,,No,No,Domestic,DATA1901,1.0,85.0,3.0,85.0,3.0,I,I leave things to the last minute,Style 2
88,18.0,Female,Australia,0.0,3.13,0.0,7.0,1.0,120.0,Single,0.0,0.0,2.0,Have you ever gotten high off illicit drugs?,,No,No,Domestic,DATA1901,1.0,55.0,3.0,75.0,4.0,I,It changes depending on the subject,Style 3
89,18.0,Male,Australia,10.0,0.4,0.0,10.0,10.0,120.0,Its complicated,12.0,0.0,3.0,Have you ever gotten high off illicit drugs?,,No,No,Domestic,DATA1901,2.0,90.0,6.0,90.0,10.0,Recording,It changes depending on the subject,Style 1
90,18.0,Male,Australia,4.5,2.0,0.0,5.0,7.0,120.0,Single,0.0,0.0,5.0,Have you ever used recreational drugs,No,,No,Domestic,DATA1901,1.0,60.0,5.0,85.0,2.0,Recording,It changes depending on the subject,Style 2
91,18.0,Female,Australia,0.0,0.2,0.0,10.0,8.0,120.0,Single,0.0,1.3,3.0,Have you ever used recreational drugs,No,,No,Domestic,DATA1901,4.0,120.0,5.0,86.0,60.0,Recording,I leave things to the last minute,Style 2
92,31.0,Male,Australia,36.0,4.0,245.0,1.0,6.0,160.0,Single,20.0,25.0,11.0,Have you ever used recreational drugs,Yes,,Yes,Domestic,DATA1901,7.0,20.0,3.0,75.0,2.0,Recording,It changes depending on the subject,Style 1
93,21.0,Female,japan,0.0,2.5,0.0,10.0,5.0,120.0,Single,0.0,0.0,8.0,Have you ever used recreational drugs,No,,No,International,DATA1901,0.0,80.0,7.0,80.0,3.0,I,I leave things to the last minute,Style 1
94,18.0,Male,Taiwan,6.0,3.25,750.0,5.0,2.0,150.0,Single,0.0,6.0,5.0,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1901,0.0,20.0,6.0,80.0,2.0,I,It changes depending on the subject,Style 1
95,18.0,Male,Australia,7.0,3.9,0.0,7.0,3.0,130.0,In a relationship,4.0,4.0,6.0,Have you ever used recreational drugs,No,,No,Domestic,DATA1901,1.0,120.0,6.0,100.0,7.0,Recording,I work steadily all semester,Style 1
96,20.0,Male,China,0.0,4.0,400.0,4.0,8.0,130.0,Its complicated,0.0,0.0,10.0,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1901,9.0,15.0,7.0,90.0,2.0,I,It changes depending on the subject,Style 2
97,18.0,Male,Vietnam,0.0,4.14,250.0,6.0,7.0,80.0,Single,1.0,3.0,3.0,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1901,0.0,15.0,8.0,80.0,10.0,I,It changes depending on the subject,Style 1
98,24.0,Male,Australia,12.0,3.0,0.0,0.0,3.0,140.0,In a relationship,10.0,0.0,1.0,Have you ever gotten high off illicit drugs?,,Yes,Yes,Domestic,DATA1901,1.0,50.0,8.0,85.0,7.0,Live Stream from Lecture Theatre,I leave things to the last minute,Style 3
99,19.0,Female,China,0.0,2.75,0.0,14.0,7.0,120.0,Single,0.0,0.0,7.0,Have you ever used recreational drugs,No,,No,Domestic,DATA1901,1.0,50.0,6.0,85.0,5.0,I,I work steadily all semester,Style 1
100,18.0,Male,Australia,10.5,3.0,0.0,30.0,1.0,180.0,Single,13.0,0.0,15.0,Have you ever gotten high off illicit drugs?,,Yes,Yes,Domestic,DATA1901,1.0,65.0,7.0,90.0,3.0,Live Stream from Lecture Theatre,I work steadily all semester,Style 1
101,18.0,Male,Australia,7.0,4.25,0.0,20.0,3.0,110.0,Single,0.0,0.0,20.0,Have you ever gotten high off illicit drugs?,,No,No,Domestic,DATA1901,1.0,60.0,4.0,75.0,8.0,I,It changes depending on the subject,Style 1
102,29.0,Male,China,40.0,0.0,1020.0,0.0,9.0,110.0,Single,0.0,1.0,11.0,Have you ever used recreational drugs,Yes,,Yes,Domestic,DATA1901,7.0,20.0,9.0,95.0,3.0,Recording,It changes depending on the subject,Style 1
103,18.0,Male,India,0.0,3.45,225.0,0.0,5.0,150.0,Single,0.0,1.0,15.0,Have you ever gotten high off illicit drugs?,,No,No,Domestic,DATA1901,0.0,35.0,8.0,100.0,10.0,I,I work steadily all semester,Style 1
104,18.0,Male,Australia,11.5,0.883,0.0,17.0,4.0,110.0,Single,1.0,2.5,3.0,Have you ever gotten high off illicit drugs?,,No,No,Domestic,DATA1901,1.0,50.0,6.0,90.0,5.0,I,I work steadily all semester,Style 1
105,18.0,Male,India,0.0,3.125,529.0,15.0,4.0,140.0,Its complicated,2.0,1.0,3.0,Have you ever used recreational drugs,No,,No,International,DATA1901,0.0,18.0,8.0,80.0,7.0,I,It changes depending on the subject,Style 1
106,18.0,Non-binary / third gender,China,5.5,5.5,0.0,20.0,7.0,110.0,In a relationship,0.0,0.25,13.0,Have you ever used recreational drugs,No,,No,Domestic,DATA1901,1.0,65.0,1.0,90.0,5.0,I,It changes depending on the subject,Style 3
107,21.0,Male,Australia,4.0,1.0,0.0,40.0,5.0,165.0,In a relationship,14.0,0.0,30.0,Have you ever used recreational drugs,No,,No,Domestic,DATA1901,7.0,60.0,8.0,90.0,1.0,I,It changes depending on the subject,Style 1
108,17.0,Female,Vietnam,0.0,5.0,400.0,20.0,5.0,120.0,Single,0.0,0.0,10.0,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1901,0.0,75.0,7.0,85.0,2.0,I,It changes depending on the subject,Style 1
109,20.0,Female,South Africa,0.0,5.29,1200.0,5.0,1.0,150.0,Single,0.0,1.0,3.0,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1001,3.0,15.0,2.0,80.0,5.0,Live Stream from Lecture Theatre,It changes depending on the subject,Style 2
110,18.0,Male,China,7.0,1.0,896.0,0.0,10.0,160.0,Single,0.0,0.0,7.0,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1001,0.0,30.0,10.0,100.0,10.0,Recording,I work steadily all semester,Style 1
