Progress,consent ,age ,gender ,country_of_birth ,country_of_birth _5_TEXT,hours_work ,social_media_use ,rent ,friends_count ,si_1,highest_speed ,relationship_status ,dates ,standard_drinks ,countries ,drug_use_q,drug_usea,drug_useb ,drug_use_ans,student_type ,mainstream_advanced ,semesters ,commute ,data_interest _1,mark_goal ,hours_studying ,lecture_mode ,study_type ,learner_style 
100,I consent to take part in the study,18,Male,Australia,,15,9.3,0,30,3,140,In a relationship,50,0,4,Have you ever used recreational drugs,No,,No,Domestic,DATA1001,1,75,2,100,5,Recording,I work steadily all semester,Style 1
100,I consent to take part in the study,19,Female,China,,0,6.35,477,5,4,120,Single,0,0,7,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1001,1,10,0,74,1,Live Stream from Lecture Theatre,I work steadily all semester,Style 3
100,I consent to take part in the study,19,Female,Other Please Specify,Hong Kong,4,2.3,0,10,4,0,Single,0,2,15,Have you ever used recreational drugs,No,,No,Domestic,DATA1001,1,30,2,50,3,I,It changes depending on the subject,Style 2
100,I consent to take part in the study,18,Female,Other Please Specify,New Zealand,0,3,0,25,7,95,Single,0,0,7,Have you ever used recreational drugs,No,,No,Domestic,DATA1001,1,75,5,85,3,I,It changes depending on the subject,Style 1
100,I consent to take part in the study,19,Female,Other Please Specify,New Zealand ,0,2,0,6,8,130,In a relationship,20,0,8,Have you ever gotten high off illicit drugs?,,No,No,Domestic,DATA1001,1,15,5,90,3,Recording,I work steadily all semester,Style 3
100,I consent to take part in the study,19,Female,China,,1,4,0,6,3,0,Single,0,0,8,Have you ever used recreational drugs,No,,No,International,DATA1001,1,25,4,85,3,Recording,It changes depending on the subject,Style 1
100,I consent to take part in the study,19,Male,Other Please Specify,Vietnam,100,6,500,3,5,100,Single,50,2,2,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1001,1,50,8,9,8,Live Stream from Lecture Theatre,I work steadily all semester,Style 1
100,I consent to take part in the study,19,Female,Australia,,8,3,0,5,6,120,Single,1,1,6,Have you ever used recreational drugs,No,,No,Domestic,DATA1001,3,40,6,70,3,Recording,It changes depending on the subject,Style 2
100,I consent to take part in the study,22,Male,China,,100,6,730,10,6,200,Single,4,0,3,Have you ever used recreational drugs,No,,No,International,DATA1001,0,40,6,85,14,I,I work steadily all semester,Style 3
100,I consent to take part in the study,18,Male,Other Please Specify,Taiwan,0,3,380,10,4,110,Single,2,0,5,Have you ever used recreational drugs,No,,No,International,DATA1001,0,10,10,100,5,I,I work steadily all semester,Style 1
100,I consent to take part in the study,19,Male,Other Please Specify,England,6,3.5,275,15,3,193,Single,5,4,20,Have you ever gotten high off illicit drugs?,,Prefer not to say,Prefer not to say,Domestic,DATA1001,1,35,6,100,3,I,I leave things to the last minute,Style 2
100,I consent to take part in the study,19,Female,Other Please Specify,Taiwan,0,6,759,20,10,0,Single,0,0,6,Have you ever used recreational drugs,No,,No,International,DATA1001,1,25,3,100,8,Recording,I work steadily all semester,Style 3
100,I consent to take part in the study,22,Male,China,,72,6.8,360,5,7,220,Single,12,2,7,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1001,0,60,7,80,20,Live Stream from Lecture Theatre,I work steadily all semester,Style 2
100,I consent to take part in the study,18,Non-binary / third gender,Australia,,0,1.39,0,5,3,100,Single,0,0,0,Have you ever used recreational drugs,No,,No,Domestic,DATA1001,1,90,5,80,5,I,I leave things to the last minute,Style 2
100,I consent to take part in the study,17,Male,Other Please Specify,Vietnam,0,1.35,400,2,7,120,In a relationship,1,3,4,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1001,0,50,6,100,0,I,I work steadily all semester,Style 3
100,I consent to take part in the study,21,Male,Other Please Specify,Bangladesh,0,5,0,6,8,140,Single,0,0,20,Have you ever used recreational drugs,No,,No,International,DATA1001,0,70,8,90,6,Recording,It changes depending on the subject,Style 1
100,I consent to take part in the study,18,Male,Other Please Specify,Viet Nam,0,1.4,400,4,6,0,Single,0,2,10,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1001,0,60,9,100,2,Recording,I work steadily all semester,Style 1
100,I consent to take part in the study,22,Female,China,,0,5,300,2,7,0,Single,0,0,9,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1001,0,40,3,80,10,I,It changes depending on the subject,Style 1
100,I consent to take part in the study,18,Female,China,,8,4,700,5,8,60,Single,2,3,6,Have you ever used recreational drugs,No,,No,International,DATA1001,0,15,5,6,3,I,I work steadily all semester,Style 2
100,I consent to take part in the study,20,Male,China,,35,2,300,5,7,50,Single,0,5,3,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1001,0,120,5,80,2,I,I work steadily all semester,Style 2
100,I consent to take part in the study,18,Female,Other Please Specify,Israel,0,2.75,0,10,5,120,Single,0,1,4,Have you ever used recreational drugs,Yes,,Yes,Domestic,DATA1001,1,90,9,80,2,I,It changes depending on the subject,Style 2
100,I consent to take part in the study,18,Female,Australia,,10,2.5,0,15,3,120,Single,3,0,4,Have you ever gotten high off illicit drugs?,,No,No,Domestic,DATA1001,1,35,4,85,6,I,I work steadily all semester,Style 1
100,I consent to take part in the study,19,Male,China,,0,7,799,5,7,100,Single,0,5,4,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1001,0,20,9,100,30,Other,I work steadily all semester,Style 1
100,I consent to take part in the study,19,Female,China,,2,10,530,5,7,200,In a relationship,6,2,4,Have you ever used recreational drugs,No,,No,International,DATA1001,4,30,6,85,5,Recording,I leave things to the last minute,Style 3
100,I consent to take part in the study,18,Male,Australia,,28,1.5,0,10,2,150,In a relationship,20,10,17,Have you ever gotten high off illicit drugs?,,Yes,Yes,Domestic,DATA1001,1,35,6,50,2,I,It changes depending on the subject,Style 1
100,I consent to take part in the study,20,Male,China,,1,8,600,1,1,180,In a relationship,20,10,3,Have you ever used recreational drugs,No,,No,International,DATA1001,0,15,7,100,3,I,I work steadily all semester,Style 1
100,I consent to take part in the study,18,Female,Other Please Specify,Indonesia,7.75,8,1411,30,7,70,Single,2,1,7,Have you ever used recreational drugs,No,,No,International,DATA1001,1,20,2,80,2,Recording,It changes depending on the subject,Style 2
100,I consent to take part in the study,20,Male,China,,28,5,500,2,5,213,In a relationship,50,0,5,Have you ever used recreational drugs,No,,No,International,DATA1001,1,35,6,75,6,Recording,I work steadily all semester,Style 2
100,I consent to take part in the study,20,Female,Australia,,28,1,390,3,9,140,Single,4,0,3,Have you ever gotten high off illicit drugs?,,Yes,Yes,Domestic,DATA1001,5,180,3,86,7,Recording,It changes depending on the subject,Style 1
100,I consent to take part in the study,18,Male,Other Please Specify,Thailand,0,14,750,2,8,160,Single,0,0,5,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1001,0,30,6,95,2,Lecture Slides,It changes depending on the subject,Style 2
100,I consent to take part in the study,20,Male,Other Please Specify,Japan,0,4.2,300,5,4,110,Single,0,1,8,Have you ever used recreational drugs,No,,No,International,DATA1001,1,50,10,92,6,Lecture Slides,It changes depending on the subject,Style 3
100,I consent to take part in the study,18,Female,Australia,,23,5.28,0,14,6,110,Single,3,0,3,Have you ever used recreational drugs,Yes,,Yes,Domestic,DATA1001,1,75,1,80,4,Recording,It changes depending on the subject,Style 1
100,I consent to take part in the study,19,Female,Australia,,23,4,0,100,3,180,In a relationship,1,20,23,Have you ever used recreational drugs,Yes,,Yes,Domestic,DATA1001,1,60,4,85,5,Recording,I work steadily all semester,Style 3
100,I consent to take part in the study,19,Male,Other Please Specify,Vietnam,0,7,360,5,5,180,Single,0,0,15,Have you ever gotten high off illicit drugs?,,Prefer not to say,Prefer not to say,International,DATA1001,2,40,5,85,9,Live Stream from Lecture Theatre,I work steadily all semester,Style 1
100,I consent to take part in the study,18,Male,Australia,,4,4,0,6,7,110,Single,0,0,5,Have you ever gotten high off illicit drugs?,,No,No,Domestic,DATA1001,1,60,5,85,3,I,I work steadily all semester,Style 3
100,I consent to take part in the study,18,Male,India,,0,3.5,450,10,8,210,Single,0,15,8,Have you ever used recreational drugs,No,,No,International,DATA1001,0,35,10,90,3,Recording,It changes depending on the subject,Style 1
100,I consent to take part in the study,22,Female,Australia,,20,5,300,1,7,130,Single,2,1,10,Have you ever used recreational drugs,Yes,,Yes,Domestic,DATA1001,1,25,6,85,10,Recording,It changes depending on the subject,Style 3
100,I consent to take part in the study,19,Female,Australia,,10,7.5,0,9,8,100,Single,4,6,2,Have you ever gotten high off illicit drugs?,,Yes,Yes,Domestic,DATA1001,1,60,1,60,5,I,I work steadily all semester,Style 3
100,I consent to take part in the study,31,Male,Australia,,22.5,0.5,0,0,3,210,In a relationship,0,12,5,Have you ever gotten high off illicit drugs?,,Yes,Yes,Domestic,DATA1001,4,60,1,85,4,Recording,I work steadily all semester,Style 3
100,I consent to take part in the study,19,Male,China,,0,6,498,10,0,130,Single,0,0,4,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1001,1,30,7,80,3,Lecture Slides,I work steadily all semester,Style 2
100,I consent to take part in the study,19,Female,Australia,,3,8.28,0,10,6,115,Single,0,3,8,Have you ever used recreational drugs,No,,No,Domestic,DATA1001,1,80,3,80,3,Recording,It changes depending on the subject,Style 2
100,I consent to take part in the study,18,Female,Australia,,18,3,0,3,3,110,Single,0,1.2,5,Have you ever used recreational drugs,No,,No,International,DATA1001,1,110,2,85,1,I,It changes depending on the subject,Style 3
100,I consent to take part in the study,19,Male,China,,20,5.45,300,10,7,90,In a relationship,40,5,8,Have you ever gotten high off illicit drugs?,,No,No,Domestic,DATA1001,0,30,8,70,14,I,It changes depending on the subject,Style 1
100,I consent to take part in the study,19,Female,Other Please Specify,Singapore,0,3.19,0,20,6,186,In a relationship,1,0,11,Have you ever used recreational drugs,No,,No,International,DATA1001,1,15,4,85,2,Recording,It changes depending on the subject,Style 2
100,I consent to take part in the study,20,Male,China,,0,2.25,800,0,3,110,Single,0,3,8,Have you ever used recreational drugs,No,,No,International,DATA1001,0,15,7,60,1,I,I leave things to the last minute,Style 2
100,I consent to take part in the study,19,Male,Other Please Specify,Hong Kong,0,8,0,2,2,80,Single,0,0,7,Have you ever used recreational drugs,No,,No,Domestic,DATA1001,1,60,7,77,2,Recording,It changes depending on the subject,Style 2
100,I consent to take part in the study,18,Female,Australia,,5,4.5,0,11,3,120,In a relationship,45,7,9,Have you ever gotten high off illicit drugs?,,Yes,Yes,Domestic,DATA1001,1,20,5,85,4,Recording,I work steadily all semester,Style 3
100,I consent to take part in the study,18,Male,Other Please Specify,Vietnam,0,5.5,400,30,3,150,Single,4,0,4,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1001,0.5,60,8,85,4,I,I work steadily all semester,Style 1
100,I consent to take part in the study,18,Male,Australia,,12.167,4.28,0,9,7,140,Single,50,0,14,Have you ever gotten high off illicit drugs?,,Yes,Yes,Domestic,DATA1001,1,50,6,100,3,Recording,It changes depending on the subject,Style 2
100,I consent to take part in the study,19,Female,India,,0,4,600,0,5,150,Single,0,0,4,Have you ever gotten high off illicit drugs?,,No,No,Domestic,DATA1001,0,20,7,100,10,I,It changes depending on the subject,Style 3
100,I consent to take part in the study,18,Female,Other Please Specify,South Korea,7,5,459,10,9,100,Its complicated,3,5,12,Have you ever used recreational drugs,Yes,,Yes,International,DATA1001,0,20,9,100,4,Live Stream from Lecture Theatre,I work steadily all semester,Style 2
100,I consent to take part in the study,19,Female,Other Please Specify,Mongolia ,0,7.28,459,0,6,150,Single,0,0,3,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1001,0,20,7,80,2,I,I work steadily all semester,Style 2
100,I consent to take part in the study,25,Female,Other Please Specify,Republic of Korea,0,6,700,12,7,100,Single,0,2,14,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1001,8,30,7,85,2,I,It changes depending on the subject,Style 2
100,I consent to take part in the study,19,Female,China,,28,7,0,2,2,120,Single,0,7,2,Have you ever used recreational drugs,No,,No,International,DATA1001,0,15,6,100,10,I,I work steadily all semester,Style 1
100,I consent to take part in the study,19,Female,Other Please Specify,Mongolia,0,7.45,0,4,4,120,Single,0,0,2,Have you ever used recreational drugs,No,,No,International,DATA1001,2,20,6,3,5,Lecture Slides,I work steadily all semester,Style 1
100,I consent to take part in the study,19,Female,Other Please Specify,Bangladesh,0,6.1,739,0,7,120,In a relationship,35,0,10,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1001,0,20,5,85,5,Recording,I work steadily all semester,Style 2
100,I consent to take part in the study,20,Male,China,,9,5,500,9,9,120,Single,0,0,6,Have you ever used recreational drugs,Prefer not to say,,Prefer not to say,International,DATA1001,0,50,6,80,0,Recording,It changes depending on the subject,Style 3
100,I consent to take part in the study,20,Female,Australia,,15,9.16,0,10,4,130,Single,0,5,17,Have you ever used recreational drugs,Yes,,Yes,Domestic,DATA1001,3,10,2,70,3,Live Stream from Lecture Theatre,It changes depending on the subject,Style 2
100,I consent to take part in the study,20,Male,Other Please Specify,Indonesia,0,7.58,0,15,6,0,Single,1,1,6,Have you ever gotten high off illicit drugs?,,Prefer not to say,Prefer not to say,International,DATA1001,6,40,4,100,1,I,I leave things to the last minute,Style 1
100,I consent to take part in the study,20,Male,China,,15,10,682,3,6,0,Single,3,2,3,Have you ever used recreational drugs,No,,No,International,DATA1001,0,60,5,90,6,Lecture Slides,It changes depending on the subject,Style 2
100,I consent to take part in the study,18,Female,Australia,,1,3.1,0,4,4,180,In a relationship,3,0,5,Have you ever used recreational drugs,No,,No,Domestic,DATA1001,1,45,2,90,2,Recording,I leave things to the last minute,Style 2
100,I consent to take part in the study,18,Male,Other Please Specify,Austria,0,1,0,5,2,120,Single,2,50,5,Have you ever gotten high off illicit drugs?,,Yes,Yes,Domestic,DATA1901,0,65,6,100,12,Live Stream from Lecture Theatre,I work steadily all semester,Style 3
100,I consent to take part in the study,18,Male,Other Please Specify,Canada,1,5.88,456,20,0,177.03,Its complicated,3,7,6,Have you ever used recreational drugs,Yes,,Yes,Domestic,DATA1901,1,15,10,90,4,I,It changes depending on the subject,Style 1
100,I consent to take part in the study,17,Male,Other Please Specify,,35,5,325,10,3,100,Single,0,3,3,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1901,2,5,4,90,10,Live Stream from Lecture Theatre,I work steadily all semester,Style 1
100,I consent to take part in the study,18,Male,Other Please Specify,Indonesia,0,3,250,20,3,140,Single,0,0,4,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1901,0,15,9,95,10,I,It changes depending on the subject,Style 1
100,I consent to take part in the study,18,Male,Other Please Specify,New Zealand,0,2,0,8,6,120,Single,0,3,7,Have you ever used recreational drugs,No,,No,Domestic,DATA1901,1,0,8,90,4,Recording,I work steadily all semester,Style 3
100,I consent to take part in the study,17,Male,Other Please Specify,Indonesia,0,6,400,20,3,80,Single,0,0,3,Have you ever used recreational drugs,No,,No,International,DATA1901,0,75,6,75,20,I,I work steadily all semester,Style 3
100,I consent to take part in the study,18,Male,Other Please Specify,Vietnam,0,2.87,350,60,4,100,Single,0,3,3,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1901,0,20,10,90,10,I,I work steadily all semester,Style 1
100,I consent to take part in the study,18,Male,Other Please Specify,Indonesia,0,4.25,789,15,4,170,Single,0,1,31,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1901,0,12,8,90,7,I,I work steadily all semester,Style 3
100,I consent to take part in the study,18,Male,Other Please Specify,Indonesia,0,2833,217,30,1,80,Single,0,0,3,Have you ever used recreational drugs,No,,No,International,DATA1901,0,40,7,100,5,I,It changes depending on the subject,Style 1
100,I consent to take part in the study,18,Female,Australia,,0,8.25,0,10,8,125,Single,8,0,1,Have you ever used recreational drugs,No,,No,International,DATA1901,1,40,2,85,4,Lecture Slides,It changes depending on the subject,Style 1
100,I consent to take part in the study,19,Male,Other Please Specify,Hong Kong,0,4.5,950,30,7,170,Single,2,50,27,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1901,1,10,2,100,3,I,I leave things to the last minute,Style 2
100,I consent to take part in the study,18,Male,Australia,,6.5,2,0,10,3,85,In a relationship,10,1.5,4,Have you ever used recreational drugs,No,,No,Domestic,DATA1901,1,60,6,85,4,Recording,It changes depending on the subject,Style 1
100,I consent to take part in the study,18,Male,Australia,,7,4,0,9,7,110,Single,0,0,3,Have you ever gotten high off illicit drugs?,,No,No,Domestic,DATA1901,1,85,3,85,3,I,I leave things to the last minute,Style 2
100,I consent to take part in the study,18,Female,Australia,,0,3.13,0,7,1,120,Single,0,0,2,Have you ever gotten high off illicit drugs?,,No,No,Domestic,DATA1901,1,55,3,75,4,I,It changes depending on the subject,Style 3
100,I consent to take part in the study,18,Male,Australia,,10,0.4,0,10,10,120,Its complicated,12,0,3,Have you ever gotten high off illicit drugs?,,No,No,Domestic,DATA1901,2,90,6,90,10,Recording,It changes depending on the subject,Style 1
100,I consent to take part in the study,18,Male,Australia,,4.5,2,0,5,7,120,Single,0,0,5,Have you ever used recreational drugs,No,,No,Domestic,DATA1901,1,60,5,85,2,Recording,It changes depending on the subject,Style 2
100,I consent to take part in the study,18,Female,Australia,,0,0.2,0,10,8,120,Single,0,1.3,3,Have you ever used recreational drugs,No,,No,Domestic,DATA1901,4,120,5,86,60,Recording,I leave things to the last minute,Style 2
100,I consent to take part in the study,31,Male,Australia,,36,4,245,1,6,160,Single,20,25,11,Have you ever used recreational drugs,Yes,,Yes,Domestic,DATA1901,7,20,3,75,2,Recording,It changes depending on the subject,Style 1
100,I consent to take part in the study,21,Female,Other Please Specify,japan,0,2.5,0,10,5,120,Single,0,0,8,Have you ever used recreational drugs,No,,No,International,DATA1901,0,80,7,80,3,I,I leave things to the last minute,Style 1
100,I consent to take part in the study,18,Male,Other Please Specify,Taiwan,6,3.25,750,5,2,150,Single,0,6,5,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1901,0,20,6,80,2,I,It changes depending on the subject,Style 1
100,I consent to take part in the study,18,Male,Australia,,7,3.9,0,7,3,130,In a relationship,4,4,6,Have you ever used recreational drugs,No,,No,Domestic,DATA1901,1,120,6,100,7,Recording,I work steadily all semester,Style 1
100,I consent to take part in the study,20,Male,China,,0,4,400,4,8,130,Its complicated,0,0,10,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1901,9,15,7,90,2,I,It changes depending on the subject,Style 2
100,I consent to take part in the study,18,Male,Other Please Specify,Vietnam,0,4.14,250,6,7,80,Single,1,3,3,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1901,0,15,8,80,10,I,It changes depending on the subject,Style 1
100,I consent to take part in the study,24,Male,Australia,,12,3,0,0,3,140,In a relationship,10,0,1,Have you ever gotten high off illicit drugs?,,Yes,Yes,Domestic,DATA1901,1,50,8,85,7,Live Stream from Lecture Theatre,I leave things to the last minute,Style 3
100,I consent to take part in the study,19,Female,China,,0,2.75,0,14,7,120,Single,0,0,7,Have you ever used recreational drugs,No,,No,Domestic,DATA1901,1,50,6,85,5,I,I work steadily all semester,Style 1
100,I consent to take part in the study,18,Male,Australia,,10.5,3,0,30,1,180,Single,13,0,15,Have you ever gotten high off illicit drugs?,,Yes,Yes,Domestic,DATA1901,1,65,7,90,3,Live Stream from Lecture Theatre,I work steadily all semester,Style 1
100,I consent to take part in the study,18,Male,Australia,,7,4.25,0,20,3,110,Single,0,0,20,Have you ever gotten high off illicit drugs?,,No,No,Domestic,DATA1901,1,60,4,75,8,I,It changes depending on the subject,Style 1
100,I consent to take part in the study,29,Male,China,,40,0,1020,0,9,110,Single,0,1,11,Have you ever used recreational drugs,Yes,,Yes,Domestic,DATA1901,7,20,9,95,3,Recording,It changes depending on the subject,Style 1
100,I consent to take part in the study,18,Male,India,,0,3.45,225,0,5,150,Single,0,1,15,Have you ever gotten high off illicit drugs?,,No,No,Domestic,DATA1901,0,35,8,100,10,I,I work steadily all semester,Style 1
100,I consent to take part in the study,18,Male,Australia,,11.5,0.883,0,17,4,110,Single,1,2.5,3,Have you ever gotten high off illicit drugs?,,No,No,Domestic,DATA1901,1,50,6,90,5,I,I work steadily all semester,Style 1
100,I consent to take part in the study,18,Male,India,,0,3.125,529,15,4,140,Its complicated,2,1,3,Have you ever used recreational drugs,No,,No,International,DATA1901,0,18,8,80,7,I,It changes depending on the subject,Style 1
100,I consent to take part in the study,18,Non-binary / third gender,China,,5.5,5.5,0,20,7,110,In a relationship,0,0.25,13,Have you ever used recreational drugs,No,,No,Domestic,DATA1901,1,65,1,90,5,I,It changes depending on the subject,Style 3
100,I consent to take part in the study,21,Male,Australia,,4,1,0,40,5,165,In a relationship,14,0,30,Have you ever used recreational drugs,No,,No,Domestic,DATA1901,7,60,8,90,1,I,It changes depending on the subject,Style 1
100,I consent to take part in the study,17,Female,Other Please Specify,Vietnam,0,5,400,20,5,120,Single,0,0,10,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1901,0,75,7,85,2,I,It changes depending on the subject,Style 1
100,I consent to take part in the study,20,Female,Other Please Specify,South Africa,0,5.29,1200,5,1,150,Single,0,1,3,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1001,3,15,2,80,5,Live Stream from Lecture Theatre,It changes depending on the subject,Style 2
100,I consent to take part in the study,18,Male,China,,7,1,896,0,10,160,Single,0,0,7,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1001,0,30,10,100,10,Recording,I work steadily all semester,Style 1
100,I consent to take part in the study,21,Male,China,,0,6,700,5,7,140,Single,0,0,12,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1001,0,10,8,80,5,Recording,I work steadily all semester,Style 3
100,I consent to take part in the study,22,Non-binary / third gender,Australia,,26,2,0,5,5,120,Its complicated,6,15,8,Have you ever used recreational drugs,Yes,,Yes,Domestic,DATA1001,9,30,5,80,2,Live Stream from Lecture Theatre,I leave things to the last minute,Style 2
100,I consent to take part in the study,18,Female,Australia,,0,3,0,10,2,120,Single,4,5,30,Have you ever gotten high off illicit drugs?,,Prefer not to say,Prefer not to say,Domestic,DATA1001,1,20,7,85,4,I,It changes depending on the subject,Style 3
100,I consent to take part in the study,21,Male,China,,0,0.16,740,0,3,120,Single,0,0,6,Have you ever used recreational drugs,No,,No,Domestic,DATA1001,3,25,4,70,2,Recording,It changes depending on the subject,Style 2
100,I consent to take part in the study,18,Male,Australia,,2,0.75,0,4,3,140,Single,1,45,10,Have you ever used recreational drugs,Yes,,Yes,Domestic,DATA1001,1,50,6,75,2,Recording,It changes depending on the subject,Style 3
100,I consent to take part in the study,18,Male,Other Please Specify,Taiwan,0,6.11,520,2,8,180,In a relationship,3,0,12,Have you ever used recreational drugs,No,,No,Domestic,DATA1001,0,18,3,70,10,I,I leave things to the last minute,Style 3
100,I consent to take part in the study,19,Female,Australia,,10,4,0,50,3,160,In a relationship,20,10,10,Have you ever gotten high off illicit drugs?,,Yes,Yes,Domestic,DATA1001,1,5,2,65,2,Recording,I work steadily all semester,Style 3
100,I consent to take part in the study,19,Female,China,,2,10.3,550,5,5,140,Single,0,7,6,Have you ever used recreational drugs,No,,No,International,DATA1001,3,15,5,82,5,Recording,It changes depending on the subject,Style 2
100,I consent to take part in the study,25,Female,Other Please Specify,England,0,1.25,100,1,5,160,Single,4,0,6,Have you ever used recreational drugs,Yes,,Yes,Domestic,DATA1001,3,60,3,70,3,Other,It changes depending on the subject,Style 2
100,I consent to take part in the study,18,Female,China,,0,2,575,3,2,120,Single,0,4,6,Have you ever used recreational drugs,Yes,,Yes,Domestic,DATA1001,1,15,6,85,4,I,I work steadily all semester,Style 1
100,I consent to take part in the study,18,Female,Australia,,0,1,0,8,9,120,Single,0,1,6,Have you ever used recreational drugs,No,,No,Domestic,DATA1001,1,50,3,75,2,Live Stream from Lecture Theatre,I leave things to the last minute,Style 3
100,I consent to take part in the study,19,Male,Other Please Specify,Mongolia,600,2.7,257,21,1,120,In a relationship,30,50,2,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1001,0,5,10,80,5,I,I work steadily all semester,Style 1
